"ensembl_gene_id","external_gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"dhar4",NA,432.33673115241,0.332219675302103,0.704269086014666,0.471722643942922,0.637124772184948,0.999937202399348
"dsy2",NA,230.420600883273,-0.360866059436551,0.615546033718167,-0.586253569463785,0.557705127531299,0.999937202399348
"Dwarf1",NA,89.121769805277,-1.02473758287877,1.73168226500887,-0.591758432586085,0.554012361815619,0.999937202399348
"eIF4E1",NA,389.741431534036,0.0786937220123655,0.655566973948338,0.120039180037411,0.90445211115677,0.999937202399348
"ERA1",NA,298.722369077651,0.657141965204391,0.930843843119778,0.705963701711708,0.480210710892745,0.999937202399348
"fea3",NA,13.9503709506529,0.290741956849748,1.30280996714371,0.223165284409953,0.823406869642738,0.999937202399348
"GLG1",NA,7586.18688392775,0.381666134199122,0.766472639483569,0.497951413446773,0.61851828804058,0.999937202399348
"gpm300",NA,48.3733484547311,0.327555800038472,1.09456212135907,0.299257386718043,0.764743665987078,0.999937202399348
"gpm925",NA,596.908377304074,-1.54454043175022,0.769124920234984,-2.00817889411038,0.0446242849778955,0.70853115268408
"GRF1",NA,11.9869335926713,-0.103642129572494,1.56622283246199,-0.0661732975821688,0.947239855608165,0.999937202399348
"GRMZM2G028813",NA,36.956987931793,0.541600242696203,1.01317794613178,0.534555893921678,0.592956989512471,0.999937202399348
"HDA108",NA,477.025229451995,0.444048330919341,0.565654278915357,0.785017187124978,0.432443491652007,0.999937202399348
"HMT-3",NA,479.517716235427,-0.00690258123833348,0.705912759706852,-0.00977823554457346,0.992198221153694,0.999937202399348
"IDI2",NA,422.63710041309,-0.355822480642994,0.736943987707749,-0.482835176862998,0.629212771679442,0.999937202399348
"IDP351",NA,179.969113446587,0.863417032254423,0.659008963278385,1.31017494505563,0.190136659592969,0.999937202399348
"IDP755",NA,509.190712789096,0.526342447239996,0.587037501296958,0.896607876118874,0.369928193831158,0.999937202399348
"IDP798",NA,429.608092644682,0.144568258207123,0.572197971157557,0.252654265646313,0.800535392126028,0.999937202399348
"IPP",NA,996.422619854521,0.0503504275219475,0.554761040392381,0.0907605687060049,0.927682842301446,0.999937202399348
"IVR1",NA,128.946644577058,-2.36119521464092,0.845645066061023,-2.79218233441514,0.00523538455158705,0.227958707305504
"LOC100037738",NA,175.492576865602,-1.6052690278869,0.912702408873929,-1.75880879931877,0.0786099897116114,0.870790238968686
"LOC100037748",NA,1314.50615332159,0.424525037203619,0.584349515258365,0.72649163919631,0.467537431137944,0.999937202399348
"LOC100037751",NA,3290.85271306451,-0.606339181797404,0.895331500479646,-0.677223108393457,0.498264408141749,0.999937202399348
"LOC100037755",NA,40.5196415504825,-2.58669631664376,1.07407593868226,-2.40829928637753,0.0160270363409261,0.42499135534187
"LOC100037760",NA,1907.12674244179,0.832065396894166,0.59126310786657,1.40726756975667,0.159348061960825,0.999937202399348
"LOC100037763",NA,384.149858324033,-0.183715870057407,0.862917425114196,-0.21290086943498,0.83140428421875,0.999937202399348
"LOC100037764",NA,10.1954354226589,0.0279762033472721,1.70592966609208,0.0163993884996206,0.98691576759096,0.999937202399348
"LOC100037765",NA,541.752456203612,0.416187254157642,1.10521278140035,0.376567536280495,0.706495017004875,0.999937202399348
