"","c1","c2","m1","m2"
"LOC100279474",287,38,85,290
"LOC103632575",104,45,40,301
"LOC100216580",918,508,724,996
"LOC118473052",0,0,0,0
"LOC103632610",0,0,0,0
"LOC542540",568,1120,1342,292
"LOC100282224",740,528,877,932
"LOC100276675",0,0,0,0
"LOC100285961",727,350,653,748
"LOC100382810",127,44,60,208
"LOC100277367",80,74,36,116
"LOC100382024",113,230,313,441
"LOC100279495",310,684,762,643
"LOC100501135",277,623,583,393
"LOC100194245",222,110,162,267
"LOC100281951",524,178,141,317
"LOC115066717",0,0,0,0
"LOC103632631",815,907,1131,1090
"LOC100191520",1178,501,656,1088
"LOC100279890",8,18,7,0
"LOC100193037",13,10,1,24
"LOC100192939",16,41,20,50
"LOC100280289",1997,924,1344,4077
"LOC118473053",0,1,2,0
"LOC103632668",1787,1308,2230,1136
"LOC100383905",18,42,86,57
"LOC100282042",117,29,95,167
"LOC103632677",3036,1831,2719,3677
"LOC732737",1030,824,792,1369
"LOC100280726",0,6,0,0
"LOC100382823",133,67,98,165
"LOC100383458",566,519,736,736
"LOC100273068",420,241,345,371
"LOC100282346",0,11,11,0
"LOC103632725",9,1,43,33
"LOC103632740",1713,1204,1961,2495
"LOC100285243",103,157,159,61
"LOC100193476",355,105,192,396
"LOC100191483",63,201,268,523
"LOC100501225",0,0,3,0
"LOC103632776",2,4,8,0
"LOC118473499",0,0,0,0
"LOC103632788",0,0,0,0
"LOC103632794",0,0,0,0
"LOC100383593",648,276,337,1001
"LOC100383875",14,36,123,121
"LOC100383408",370,539,554,70
"LOC103632803",6732,2501,834,1094
"LOC100279446",64,53,43,38
"LOC100282741",417,318,445,376
"LOC100280178",679,227,484,1260
"LOC103632821",10,23,17,73
"LOC103632840",0,0,0,1
"LOC103632850",305,101,262,243
"LOC100273366",1605,3367,6000,3392
"LOC100191595",360,3451,1483,112
"LOC100191471",32,16,9,13
"LOC100191537",94,123,235,68
"LOC103632861",167,168,180,211
"LOC103632887",0,0,0,0
"LOC100304394",73,50,15,0
"LOC100382264",7,0,0,0
